"","S_pvt_north_temp","S_pvt_spain_temp","S_shared_temp","S_prop_pvt_north_temp","S_prop_pvt_spain_temp","S_count_higher_spain_temp","S_prop_higer_spain_temp"
"442",677,1076,157,0.811750599520384,0.872668288726683,1,1
"443",749,1060,173,0.81236442516269,0.859691808596918,1,1
"444",755,1069,164,0.821545157780196,0.866991078669911,1,1
"445",735,1059,174,0.808580858085809,0.858880778588808,1,1
"446",871,1065,168,0.838306063522618,0.86374695863747,1,1
"447",712,1078,155,0.821222606689735,0.874290348742903,1,1
"448",876,1062,171,0.836676217765043,0.861313868613139,1,1
"449",812,1072,161,0.834532374100719,0.869424168694242,1,1
"450",832,1090,143,0.853333333333333,0.884022708840227,1,1
"451",824,1056,177,0.823176823176823,0.856447688564477,1,1
"452",809,1073,160,0.834881320949432,0.870235198702352,1,1
"453",881,1093,140,0.862879529872674,0.886455798864558,1,1
"454",849,1065,168,0.834808259587021,0.86374695863747,1,1
"455",870,1057,176,0.831739961759082,0.857258718572587,1,1
"456",790,1063,170,0.822916666666667,0.862124898621249,1,1
"457",893,1061,172,0.83849765258216,0.860502838605028,1,1
"458",791,1058,175,0.818840579710145,0.858069748580698,1,1
"459",767,1059,174,0.815090329436769,0.858880778588808,1,1
"460",715,1078,155,0.82183908045977,0.874290348742903,1,1
